Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,8.928570,9.071430,8.607140,8.821430,8.821430,321731
2017-06-08,9.450000,9.650000,9.100000,9.600000,9.600000,1361630
2017-06-09,9.950000,9.950000,9.100000,9.180000,9.180000,527837
2017-06-12,9.190000,9.550000,9.060000,9.220000,9.220000,346150
2017-06-13,9.180000,9.750000,9.180000,9.540000,9.540000,351196
2017-06-14,9.790000,9.800000,9.330000,9.360000,9.360000,251141
2017-06-15,9.370000,9.370000,8.950000,8.950000,8.950000,428039
2017-06-16,8.950000,8.950000,8.650000,8.850000,8.850000,454996
2017-06-19,8.760000,9.000000,8.650000,8.740000,8.740000,268334
2017-06-21,8.740000,8.740000,8.000000,8.000000,8.000000,418257
2017-06-22,8.150000,8.390000,8.100000,8.170000,8.170000,302256
2017-06-23,8.300000,8.300000,7.900000,8.150000,8.150000,230218
2017-06-26,8.150000,8.900000,7.850000,8.880000,8.880000,652851
2017-06-27,9.270000,9.500000,9.000000,9.080000,9.080000,898573
2017-06-28,9.350000,10.300000,9.300000,10.000000,10.000000,1547778
2017-06-29,10.500000,10.650000,10.300000,10.500000,10.500000,1680099
2017-06-30,10.600000,11.000000,10.300000,10.350000,10.350000,872573
2017-07-03,10.300000,10.400000,9.900000,10.150000,10.150000,1038867
2017-07-04,10.150000,10.300000,10.100000,10.200000,10.200000,342554
2017-07-05,10.250000,10.350000,10.000000,10.200000,10.200000,379946
2017-07-06,10.200000,10.200000,9.700000,9.800000,9.800000,392746
2017-07-07,9.800000,9.800000,9.500000,9.660000,9.660000,337235
2017-07-10,9.760000,10.200000,9.710000,10.100000,10.100000,687924
2017-07-11,10.150000,10.250000,9.970000,10.000000,10.000000,348348
2017-07-12,10.200000,10.200000,9.960000,10.200000,10.200000,233548
2017-07-13,10.300000,10.300000,9.800000,9.920000,9.920000,225459
2017-07-14,9.900000,10.000000,9.700000,9.800000,9.800000,187137
2017-07-17,9.700000,9.700000,9.130000,9.290000,9.290000,530964
2017-07-18,9.280000,9.850000,8.950000,9.850000,9.850000,494316
2017-07-19,9.930000,10.000000,9.720000,9.780000,9.780000,357704
2017-07-20,9.890000,9.890000,9.530000,9.680000,9.680000,136689
2017-07-21,9.550000,9.800000,9.500000,9.570000,9.570000,147270
2017-07-24,9.430000,9.550000,9.200000,9.290000,9.290000,345294
2017-07-25,9.070000,9.190000,9.020000,9.040000,9.040000,250402
2017-07-26,9.000000,9.650000,8.980000,9.380000,9.380000,380655
2017-07-27,9.500000,9.500000,9.280000,9.300000,9.300000,134545
2017-07-28,9.340000,9.340000,9.100000,9.250000,9.250000,108030
2017-07-31,9.200000,9.200000,9.020000,9.080000,9.080000,165182
2017-08-01,9.050000,9.300000,9.050000,9.230000,9.230000,110414
2017-08-02,9.230000,9.350000,9.050000,9.150000,9.150000,136897
2017-08-03,9.300000,9.850000,9.300000,9.740000,9.740000,922332
2017-08-04,10.100000,10.100000,9.630000,9.730000,9.730000,791539
2017-08-07,9.700000,9.700000,9.160000,9.230000,9.230000,333764
2017-08-08,9.220000,9.250000,9.030000,9.030000,9.030000,333427
2017-08-09,9.050000,9.120000,8.900000,9.080000,9.080000,449356
2017-08-10,9.000000,9.390000,9.000000,9.260000,9.260000,220086
2017-08-11,9.260000,9.350000,9.150000,9.300000,9.300000,207718
2017-08-14,9.700000,9.800000,9.530000,9.690000,9.690000,452763
